node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,throughput1,throughput2
fd00::202:2:2:2,881.17,85.68,389.89,-77.77,7.98,0.12,18.0,0.02,0.02
fd00::203:3:3:3,1435.18,911.22,834.44,-77.77,10.33,0.07,18.32,0.1,0.1
fd00::204:4:4:4,1775.5,1806.64,1013.18,-77.76,16.18,0.0,19.87,0.22,0.22
fd00::205:5:5:5,2119.92,2818.68,1024.82,-77.75,19.22,0.0,19.98,0.33,0.33
fd00::206:6:6:6,760.89,374.34,323.59,-77.76,10.78,0.14,19.37,0.05,0.18
fd00::207:7:7:7,1204.58,991.2,732.97,-77.77,13.0,0.08,18.51,0.13,0.13
fd00::208:8:8:8,1632.0,1818.84,999.74,-77.52,20.66,0.0,19.23,0.24,0.24
fd00::209:9:9:9,2003.96,2792.55,966.75,-77.75,25.11,0.0,20.57,0.33,0.33
