node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,throughput1,throughput2
fd00::202:2:2:2,30.93,171.22,1.8392963478742469e+19,-64.05,202.71,2.02,18.06,0.0,0.87
fd00::203:3:3:3,116.43,1.8389633410942648e+19,575.01,-78.76,215.94,0.85,19.18,30.87,54.36
fd00::204:4:4:4,186.48,257.31,3.426639766014159e+17,-54.83,216.18,0.14,19.24,10.59,35.1
fd00::205:5:5:5,256.3,8.468242162492396e+18,445.85,-78.77,205.55,0.0,18.32,20.37,22.69
fd00::206:6:6:6,329.19,639.71,7.741044388074544e+18,-73.78,208.26,0.0,18.39,32.02,32.88
fd00::207:7:7:7,85.32,70.71,77.68,-89.63,211.21,0.75,19.18,0.01,17.51
fd00::208:8:8:8,195.2,557.07,1.8392963478742469e+19,-57.32,204.0,0.06,18.27,41.28,57.1
fd00::209:9:9:9,268.74,5.262584645652875e+18,437.97,-76.77,209.73,0.0,18.34,38.5,40.77
fd00::20a:a:a:a,319.82,310.52,315.21,-64.62,205.07,0.0,18.37,23.22,23.22
