node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,34.7,173.38,1.8446744073709552e+19,-71.79,204.77,0.04,18.06,0.01,0.01
fd00::203:3:3:3,34.41,1.839033201232206e+19,543.93,-71.78,215.38,0.14,19.06,0.8,0.8
fd00::204:4:4:4,81.1,129.34,2.4257186396621123e+18,-73.77,215.12,0.06,19.12,0.02,0.02
fd00::205:5:5:5,80.72,1.8393429784479177e+19,386.79,-73.79,203.6,0.02,18.16,1.64,1.64
fd00::206:6:6:6,134.8,284.1,1.6602069666338597e+19,-55.7,4717.3,3.6,431.1,102.6,150.9
