node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,381.36,137.12,238.45,-63.81,7.18,1.17,18.06,0.03,0.03
fd00::203:3:3:3,1055.99,1321.1,1001.38,-78.77,9.7,0.48,18.27,0.16,0.26
fd00::204:4:4:4,1757.44,2050.21,1328.12,-54.83,11.61,0.08,19.4,0.49,0.49
fd00::205:5:5:5,2660.43,3611.03,1443.03,-78.75,17.26,0.0,19.92,0.42,0.42
fd00::206:6:6:6,3167.22,4544.11,1651.86,-73.51,24.96,0.0,20.62,0.53,0.53
fd00::207:7:7:7,853.48,663.23,959.33,-89.74,8.93,0.52,18.17,0.11,0.11
fd00::208:8:8:8,2232.04,2757.8,1476.35,-57.82,16.0,0.1,18.81,0.35,0.35
fd00::209:9:9:9,3229.77,4853.2,1494.51,-76.75,23.3,0.0,20.58,0.56,1.42
fd00::20a:a:a:a,3696.43,5925.11,1535.59,-64.8,25.37,0.0,19.65,0.64,0.74
