node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,41.63,175.71,1.8393119817681326e+19,-77.77,204.51,0.95,18.06,0.0,0.0
fd00::203:3:3:3,99.37,1.8390158969188968e+19,574.69,-77.76,215.31,0.18,19.12,0.02,0.02
fd00::204:4:4:4,156.22,232.42,5.6585104520581496e+16,-77.76,215.96,0.0,19.18,0.04,0.04
fd00::205:5:5:5,206.99,1.388868231131039e+19,441.92,-77.77,204.95,0.0,18.27,0.03,0.03
fd00::206:6:6:6,40.11,160.7,1.8446744073709552e+19,-77.77,203.4,0.97,18.06,0.01,0.01
fd00::207:7:7:7,101.18,86.3,77.55,-77.77,211.78,0.18,19.17,0.01,0.01
fd00::208:8:8:8,162.47,511.29,1.8446744073709552e+19,-77.77,203.96,0.0,18.27,0.03,0.03
fd00::209:9:9:9,212.18,1.2078225286357445e+19,436.99,-77.77,209.7,0.0,18.34,0.04,0.04
