node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,42.36,173.23,1.8393119817681326e+19,-87.74,204.51,0.95,18.06,0.0,0.0
fd00::203:3:3:3,96.05,1.8390158969188968e+19,572.07,-66.83,215.33,0.13,19.12,0.02,0.02
fd00::204:4:4:4,156.05,235.31,2.8292552260290726e+17,-77.76,215.96,0.0,19.18,1.01,1.01
fd00::205:5:5:5,207.19,1.3566936775141038e+19,446.29,-77.77,204.95,0.0,18.27,0.04,0.04
fd00::206:6:6:6,40.51,160.03,1.8232868780101325e+19,-87.68,203.44,0.97,18.06,0.01,0.01
fd00::207:7:7:7,97.93,85.32,76.62,-66.8,211.82,0.14,19.17,0.01,0.01
fd00::208:8:8:8,154.04,503.87,1.8446744073709552e+19,-77.77,203.96,0.0,18.27,0.02,0.02
fd00::209:9:9:9,206.82,1.3176245766935394e+19,434.1,-77.77,209.7,0.0,18.34,0.04,0.04
