node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now,throughput1,throughput2
fd00::202:2:2:2,18,0,2,7,505325,47,48,60,12,24,100,-64,48,95,60,355,0,82,505680,0,0
fd00::202:2:2:2,18,0,2,7,515858,48,49,60,12,34,100,-64,49,97,60,112,0,227,515970,0,0
fd00::202:2:2:2,18,0,2,7,526387,49,50,60,12,44,100,-64,50,99,60,13,0,92,526400,0,0
fd00::202:2:2:2,18,0,1,7,536919,50,51,60,12,54,100,-64,51,101,60,51,0,132,536970,0,0
fd00::202:2:2:2,18,0,1,7,547449,51,52,60,12,274,100,-64,52,103,60,21,0,382,547470,0,0
fd00::202:2:2:2,18,0,2,7,557980,52,53,60,12,74,100,-64,53,105,60,60,0,317,558040,0,0
fd00::202:2:2:2,18,0,1,7,568512,53,54,60,12,14,100,-64,54,107,60,28,0,112,568540,0,0
fd00::202:2:2:2,18,0,2,7,579043,54,55,60,12,24,100,-64,55,109,60,277,0,327,579320,0,0
fd00::202:2:2:2,18,0,1,7,589574,55,56,60,12,1574,100,-64,56,111,60,386,0,857,589960,0,0
fd00::202:2:2:2,18,0,2,7,600106,56,58,60,12,54,100,-64,58,114,60,704,0,377,600810,0,0
fd00::202:2:2:2,18,0,2,7,610636,57,58,60,12,54,100,-64,59,115,60,254,0,377,610890,1,1
fd00::202:2:2:2,18,0,2,7,621168,58,59,60,12,3284,100,-64,60,117,60,12,0,1817,621180,1,1
fd00::202:2:2:2,18,0,1,7,631699,59,60,60,12,6234,100,-64,61,119,60,51,0,3187,631750,1,1
fd00::202:2:2:2,18,0,2,7,642229,60,61,60,12,3656,100,-64,62,121,60,21,0,1898,642250,1,1
fd00::202:2:2:2,18,0,2,7,652761,61,62,60,12,4644,100,-64,63,123,60,339,0,4037,653100,1,1
fd00::202:2:2:2,18,0,2,7,663292,62,64,60,12,1793,100,-64,64,126,60,28,0,1211,663320,0,0
fd00::202:2:2:2,18,0,2,7,673822,63,65,60,12,54,100,-64,65,128,60,418,0,202,674240,0,0
fd00::202:2:2:2,18,0,2,7,684352,64,66,60,12,64,100,-64,66,130,60,38,0,172,684390,0,0
fd00::202:2:2:2,18,0,1,7,694884,65,67,60,12,214,100,-64,67,132,60,76,0,667,694960,0,0
fd00::202:2:2:2,18,0,1,7,705416,66,68,60,12,85,100,-64,68,134,60,324,0,147,705740,0,0
fd00::202:2:2:2,18,0,1,7,715947,67,69,60,12,25,100,-64,69,136,60,923,0,152,716870,0,0
