node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,861.07,54.5,416.67,-87.74,7.98,0.13,18.0,0.02,0.02
fd00::203:3:3:3,1233.08,566.66,678.01,-66.81,10.38,0.02,18.32,0.06,0.06
fd00::204:4:4:4,1501.45,1258.71,858.52,-77.76,14.45,0.0,19.69,0.16,0.16
fd00::205:5:5:5,1744.7,2068.89,868.52,-77.76,17.12,0.0,19.79,0.22,0.22
fd00::206:6:6:6,791.31,224.96,359.92,-87.73,10.78,0.2,19.37,0.04,0.77
fd00::207:7:7:7,1171.62,708.78,657.36,-66.8,13.01,0.03,18.51,0.1,0.1
fd00::208:8:8:8,1434.52,1366.42,879.5,-77.76,14.94,0.0,18.75,0.17,0.17
fd00::209:9:9:9,1680.47,2087.04,886.55,-77.76,16.71,0.0,19.82,0.23,0.23
